id;char;pinyin;translation;hsk_level
404;小朋友;xiǎo péng yǒu;kids;1
405;小时;xiǎo shí;hour;1
406;小学;xiǎo xué;primary school;1
407;小学生;xiǎo xué shēng;elementary school student;1
408;笑;xiào;laugh;1
409;写;xiě;write;1
410;谢谢;xiè xie;thank you;1
411;新;xīn;new;1
412;新年;xīn nián;new year;1
413;星期;xīng qī;week;1
414;星期日;xīng qī rì;Sunday;1
415;星期天;xīng qī tiān;Sunday;1
416;行;xíng;okay;1
417;休息;xiū xi;rest;1
418;学;xué;learn;1
419;学生;xué shēng;student;1
420;学习;xué xí;"learn; study";1
421;学校;xué xiào;school;1
422;学院;xué yuàn;academy;1
423;要;yào;want;1
424;爷爷;yé ye;grandfather;1
425;也;yě;also;1
426;页;yè;page;1
427;一;yī;one;1
428;衣服;yī fu;clothes;1
429;医生;yī shēng;doctor;1
430;医院;yī yuàn;hospital;1
431;一半;yí bàn;a half;1
432;一会儿;yí huìr;a while;1
433;一块儿;yí kuàir;together;1
434;一下儿;yí xiàr;a while;1
435;一样;yí yàng;same;1
436;一边;yì biān;while;1
437;一点儿;yì diǎnr;a little;1
438;一起;yì qǐ;together;1
439;一些;yì xiē;some;1
440;用;yòng;use;1
441;有;yǒu;have;1
442;有的;yǒu de;some;1
443;有名;yǒu míng;famous;1
444;有时候;yǒu shí hou;sometimes;1
445;有些;yǒu xiē;some;1
446;有用;yǒu yòng;useful;1
447;右;yòu;right;1
448;右边;yòu bian;right side;1
449;雨;yǔ;rain;1
450;元;yuán;China Yuan;1
451;远;yuǎn;far;1
452;月;yuè;"moon; month";1
453;再;zài;again;1
454;再见;zài jiàn;goodbye;1
455;在;zài;in;1
456;在家;zài jiā;at home;1
457;早;zǎo;early;1
458;早饭;zǎo fàn;breakfast;1
459;早上;zǎo shang;morning;1
460;怎么;zěn me;how;1
461;站;zhàn;station;1
462;找;zhǎo;look for;1
463;找到;zhǎo dào;find;1
464;这;zhè;this;1
465;这边;zhè biān;here;1
466;这里;zhè lǐ;here;1
467;这儿;zhèr;here;1
468;这些;zhè xiē;these;1
469;着;zhe;with;1
470;真;zhēn;"true; very";1
471;真的;zhēn de;really;1
472;正;zhèng;being;1
473;正在;zhèng zài;being;1
474;知道;zhī dào;know;1
475;知识;zhī shi;knowledge;1
476;中;zhōng;middle;1
477;中国;Zhōng guó;China;1
478;中间;zhōng jiān;middle;1
479;中文;Zhōng wén;Chinese;1
480;中午;zhōng wǔ;noon;1
481;中学;zhōng xué;middle school;1
482;中学生;zhōng xué shēng;middle school student;1
483;重;zhòng;heavy;1
484;重要;zhòng yào;important;1
485;住;zhù;live;1
486;准备;zhǔn bèi;"prepare; plan";1
487;桌子;zhuō zi;table;1
488;字;zì;word;1
489;子;zi;(noun suffix);1
490;走;zǒu;"walk; go";1
491;走路;zǒu lù;walk;1
492;最;zuì;most;1
493;最好;zuì hǎo;the best;1
494;最后;zuì hòu;at last;1
495;昨天;zuó tiān;yesterday;1
496;左;zuǒ;left;1
497;左边;zuǒ biān;left side;1
498;坐;zuò;sit;1
499;坐下;zuò xia;sit down;1
500;做;zuò;do;1
501;啊;a;modal particle ending sentence, showing affirmation, approval, or consent;2
502;爱情;ài qíng;"romance; love (romantic)";2
503;爱人;ài ren;"spouse (PRC); lover (non-PRC)";2
504;安静;ān jìng;"quiet; peaceful; calm";2
505;安全;ān quán;"safe; secure; safety; security";2
506;白色;bái sè;"white; fig. reactionary; anti-communist";2
507;班长;bān zhǎng;"class monitor; squad leader; team leader";2
508;办;bàn;"to do; to manage; to handle; to go about; to run; to set up; to deal with";2
509;办法;bàn fǎ;"means; method; way (of doing sth)";2
510;办公室;bàn gōng shì;"office; business premises; bureau";2
511;半夜;bàn yè;"midnight; in the middle of the night";2
512;帮助;bāng zhù;"assistance; aid; to help; to assist";2
513;饱;bǎo;"to eat till full; satisfied";2
514;报名;bào míng;"to sign up; to enter one’s name; to apply; to register; to enroll; to enlist";2
515;报纸;bào zhǐ;"newspaper; newsprint";2
516;北方;běi fāng;"north; the northern part a country; China north of the Yellow River";2
517;背;bēi;"to be burdened; to carry on the back or shoulder";2
518;比如;bǐ rú;"for example; for instance; such as";2
519;比如说;bǐ rú shuō;for example;2
520;笔;bǐ;"pen; pencil; writing brush; to write or compose; the strokes of Chinese characters; classifier for sums of money, deals";2
521;笔记;bǐ jì;"to take down (in writing); notes; a type of literature consisting mainly of short sketches";2
522;笔记本;bǐ jì běn;"notebook (stationery); notebook (computing)";2
523;必须;bì xū;"to have to; must; compulsory; necessarily";2
524;边;biān;"side; edge; margin; border; boundary; simultaneously";2
525;变;biàn;"to change; to become different; to transform; to vary; rebellion";2
526;变成;biàn chéng;"to change into; to turn into; to become";2
527;遍;biàn;"everywhere; all over; classifier for actions: one time";2
528;表;biǎo;"exterior surface; family relationship via females; to show (one’s opinion); a model; a table (listing information); a form; a meter (measuring sth)";2
529;表示;biǎo shì;"to express; to show; to say; to state; to indicate; to mean";2
530;不错;bú cuò;"correct; right; not bad; pretty good";2
531;不但;bú dàn;not only (… but also…);2
532;不够;bú gòu;"not enough; insufficient; inadequate";2
533;不过;bú guò;"only; merely; no more than; but; however; anyway (to get back to a previous topic); cannot be more (after adjectival)";2
534;不太;bú tài;not very, not quite;2
535;不要;bú yào;"don’t!; must not";2
536;不好意思;bù hǎo yì si;"to feel embarrassed; to find it embarrassing; to be sorry (for inconveniencing sb)";2
537;不久;bù jiǔ;"not long (after); before too long; soon; soon after";2
538;不满;bù mǎn;"resentful; discontented; dissatisfied";2
539;不如;bù rú;"not equal to; not as good as; inferior to; it would be better to";2
540;不少;bù shǎo;"many; a lot; not few";2
541;不同;bù tóng;"different; distinct; not the same; not alike";2
542;不行;bù xíng;"won’t do; be out of the question; be no good; not work; not be capable";2
543;不一定;bù yí dìng;"not necessarily; maybe";2
544;不一会儿;bù yí huìr;soon, not long after;2
545;部分;bù fen;"part; share; section; piece";2
546;才;cái;"a moment ago; just now; (indicating sth happening later than expected); (preceded by a clause of condition or reason) not until; (followed by a numerical clause) only";2
547;菜单;cài dān;menu;2
548;参观;cān guān;"to look around; to tour; to visit";2
549;参加;cān jiā;"to participate; to take part; to join";2
550;草;cǎo;"grass; straw; manuscript; draft (of a document); careless; rough";2
551;草地;cǎo dì;"lawn; meadow; sod; turf";2
552;层;céng;"layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)";2
553;查;chá;"to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary)";2
554;差不多;chà bu duō;"almost; nearly; more or less; about the same; good enough; not bad";2
555;长;cháng;"length; long; forever; always; constantly";2
556;常见;cháng jiàn;"commonly seen; common; to see sth frequently";2
557;常用;cháng yòng;in common usage;2
558;场;chǎng;"large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams";2
559;超过;chāo guò;"to surpass; to exceed; to outstrip";2
560;超市;chāo shì;"supermarket; abbr. for 超級市場|超级市场";2
561;车辆;chē liàng;vehicle;2
562;你;chēng;you (informal, as opposed to courteous 您[nín]);2
563;成;chéng;"to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth";2
564;成绩;chéng jì;"achievement; performance records; grades";2
565;成为;chéng wéi;"to become; to turn into";2
566;重复;chóng fù;"to repeat; to duplicate";2
567;重新;chóng xīn;"again; once more; re-";2
568;出发;chū fā;"to set off; to start (on a journey)";2
569;出国;chū guó;"to go abroad; to leave the country; emigration";2
570;出口;chū kǒu;"an exit; to speak; to export; (of a ship) to leave port";2
571;出门;chū mén;"to go out; to leave home; to go on a journey; away from home; (of a woman) to get married";2
572;出生;chū shēng;to be born;2
573;出现;chū xiàn;"to appear; to arise; to emerge; to show up";2
574;出院;chū yuàn;"to leave hospital; to be discharged from hospital";2
575;出租;chū zū;to rent;2
576;出租车;chū zū chē;"taxi; (Taiwan) rental car";2
577;船;chuán;"boat; vessel; ship";2
578;吹;chuī;"to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through";2
579;春节;chūn jié;Spring Festival (Chinese New Year);2
580;春天;chūn tiān;spring (season);2
581;词;cí;"word; statement; speech; lyrics; a form of lyric poetry, flourishing in the Song dynasty 宋朝|宋朝[sòng cháo]";2
582;词典;cí diǎn;"dictionary (of Chinese compound words); also written 辭典|辞典[cí diǎn]";2
583;词语;cí yǔ;"word (general term including monosyllables through to short phrases); term (e.g. technical term); expression";2
584;从小;cóng xiǎo;"from childhood; as a child";2
585;答应;dā ying;"to answer; to respond; to answer positively; to agree; to accept; to promise";2
586;打工;dǎ gōng;"to work a temporary or casual job; (of students) to have a job outside of class time, or during vacation";2
587;打算;dǎ suàn;"to plan; to intend; to calculate; plan; intention; calculation";2
588;打印;dǎ yìn;"to print; to seal; to stamp";2
589;大部分;dà bù fen;"in large part; the greater part; the majority";2
